Utility,DateTime,BillingPlan,Rate,VersionControl
SDGE,Oct 01 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 01 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 01 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 01 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 02 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 02 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 02 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 02 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 02 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 02 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 08 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 08 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 08 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 08 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 08 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 08 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 09 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 09 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 09 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 09 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 09 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 09 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 15 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 15 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 15 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 15 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 15 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 15 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 16 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 16 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 16 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 16 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 16 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 16 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 22 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 22 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 22 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 22 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 22 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 22 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 23 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 23 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 23 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 23 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 23 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 23 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 29 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 29 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 29 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 29 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 29 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 29 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 30 2005 02:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 30 2005 03:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 30 2005 04:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 30 2005 09:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 30 2005 10:00PM,EV-TOU,$0.29 ,1
SDGE,Oct 30 2005 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 03 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 03 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 03 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 03 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 03 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 03 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 04 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 04 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 04 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 04 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 04 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 04 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 10 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 10 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 10 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 10 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 10 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 10 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 11 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 17 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 17 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 17 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 17 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 17 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 17 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 18 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 24 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 24 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 24 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 24 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 24 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 24 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jun 25 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 01 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 01 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 01 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 01 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 01 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 01 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 02 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 08 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 08 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 08 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 08 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 08 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 08 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 09 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 15 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 15 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 15 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 15 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 15 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 15 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 16 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 22 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 22 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 22 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 22 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 22 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 22 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 23 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 29 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 29 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 29 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 29 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 29 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 29 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Jul 30 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 05 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 05 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 05 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 05 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 05 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 05 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2006 04:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2006 09:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2006 10:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 06 2006 11:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 12 2006 02:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 12 2006 03:00PM,EV-TOU,$0.29 ,1
SDGE,Aug 12 2006 04:00PM,EV-TOU,$0.29 ,1
